group,actor,recipient,category,start,stop
0,intruder,resident,none,0,21363
0,resident,intruder,none,0,0
0,resident,intruder,investigation,1,126
0,resident,intruder,none,127,135
0,resident,intruder,investigation,136,633
0,resident,intruder,none,634,658
0,resident,intruder,investigation,659,714
0,resident,intruder,none,715,735
0,resident,intruder,investigation,736,898
0,resident,intruder,none,899,943
0,resident,intruder,investigation,944,1045
0,resident,intruder,none,1046,1138
0,resident,intruder,investigation,1139,1260
0,resident,intruder,none,1261,1352
0,resident,intruder,investigation,1353,1409
0,resident,intruder,none,1410,1481
0,resident,intruder,investigation,1482,1695
0,resident,intruder,none,1696,1764
0,resident,intruder,investigation,1765,1886
0,resident,intruder,none,1887,1903
0,resident,intruder,investigation,1904,1911
0,resident,intruder,none,1912,2011
0,resident,intruder,investigation,2012,2036
0,resident,intruder,mount,2037,2195
0,resident,intruder,none,2196,2275
0,resident,intruder,investigation,2276,2300
0,resident,intruder,none,2301,2308
0,resident,intruder,investigation,2309,2418
0,resident,intruder,mount,2419,2498
0,resident,intruder,none,2499,2735
0,resident,intruder,investigation,2736,2773
0,resident,intruder,none,2774,2788
0,resident,intruder,investigation,2789,2978
0,resident,intruder,mount,2979,3641
0,resident,intruder,none,3642,3989
0,resident,intruder,investigation,3990,4091
0,resident,intruder,none,4092,4116
0,resident,intruder,investigation,4117,4120
0,resident,intruder,none,4121,4131
0,resident,intruder,investigation,4132,4146
0,resident,intruder,mount,4147,4634
0,resident,intruder,none,4635,4990
0,resident,intruder,investigation,4991,5120
0,resident,intruder,mount,5121,5233
0,resident,intruder,none,5234,5328
0,resident,intruder,investigation,5329,5381
0,resident,intruder,none,5382,5398
0,resident,intruder,investigation,5399,5428
0,resident,intruder,none,5429,5712
0,resident,intruder,investigation,5713,5752
0,resident,intruder,mount,5753,6008
0,resident,intruder,none,6009,6156
0,resident,intruder,investigation,6157,6196
0,resident,intruder,none,6197,6659
0,resident,intruder,investigation,6660,6721
0,resident,intruder,mount,6722,7085
0,resident,intruder,none,7086,7385
0,resident,intruder,investigation,7386,7435
0,resident,intruder,none,7436,7585
0,resident,intruder,investigation,7586,7609
0,resident,intruder,mount,7610,8069
0,resident,intruder,none,8070,8447
0,resident,intruder,investigation,8448,8483
0,resident,intruder,none,8484,8514
0,resident,intruder,investigation,8515,8527
0,resident,intruder,none,8528,9176
0,resident,intruder,investigation,9177,9223
0,resident,intruder,mount,9224,9320
0,resident,intruder,investigation,9321,9329
0,resident,intruder,none,9330,9368
0,resident,intruder,investigation,9369,9377
0,resident,intruder,none,9378,9504
0,resident,intruder,investigation,9505,9517
0,resident,intruder,mount,9518,9978
0,resident,intruder,none,9979,10191
0,resident,intruder,investigation,10192,10216
0,resident,intruder,none,10217,10429
0,resident,intruder,investigation,10430,10472
0,resident,intruder,none,10473,10525
0,resident,intruder,investigation,10526,10539
0,resident,intruder,mount,10540,10554
0,resident,intruder,investigation,10555,10568
0,resident,intruder,mount,10569,10628
0,resident,intruder,investigation,10629,10660
0,resident,intruder,none,10661,11722
0,resident,intruder,investigation,11723,11750
0,resident,intruder,mount,11751,11861
0,resident,intruder,none,11862,12001
0,resident,intruder,investigation,12002,12018
0,resident,intruder,mount,12019,12114
0,resident,intruder,investigation,12115,12161
0,resident,intruder,mount,12162,12181
0,resident,intruder,investigation,12182,12192
0,resident,intruder,none,12193,12385
0,resident,intruder,investigation,12386,12440
0,resident,intruder,mount,12441,12591
0,resident,intruder,none,12592,12637
0,resident,intruder,investigation,12638,12662
0,resident,intruder,mount,12663,12698
0,resident,intruder,investigation,12699,12712
0,resident,intruder,mount,12713,12762
0,resident,intruder,none,12763,12821
0,resident,intruder,investigation,12822,12861
0,resident,intruder,none,12862,13400
0,resident,intruder,investigation,13401,13486
0,resident,intruder,mount,13487,13560
0,resident,intruder,none,13561,14080
0,resident,intruder,investigation,14081,14127
0,resident,intruder,none,14128,14419
0,resident,intruder,investigation,14420,14456
0,resident,intruder,mount,14457,15185
0,resident,intruder,none,15186,15729
0,resident,intruder,investigation,15730,15765
0,resident,intruder,none,15766,16395
0,resident,intruder,investigation,16396,16418
0,resident,intruder,mount,16419,16674
0,resident,intruder,none,16675,16785
0,resident,intruder,investigation,16786,16810
0,resident,intruder,mount,16811,16951
0,resident,intruder,none,16952,17408
0,resident,intruder,investigation,17409,17439
0,resident,intruder,mount,17440,17729
0,resident,intruder,none,17730,17792
0,resident,intruder,mount,17793,17828
0,resident,intruder,none,17829,18224
0,resident,intruder,investigation,18225,18298
0,resident,intruder,none,18299,18311
0,resident,intruder,investigation,18312,18345
0,resident,intruder,mount,18346,18819
0,resident,intruder,none,18820,18899
0,resident,intruder,mount,18900,19108
0,resident,intruder,none,19109,19371
0,resident,intruder,investigation,19372,19380
0,resident,intruder,none,19381,19553
0,resident,intruder,investigation,19554,19564
0,resident,intruder,none,19565,20162
0,resident,intruder,investigation,20163,20178
0,resident,intruder,mount,20179,20408
0,resident,intruder,none,20409,20973
0,resident,intruder,investigation,20974,21019
0,resident,intruder,mount,21020,21363
1,intruder,resident,none,0,19342
1,resident,intruder,none,0,62
1,resident,intruder,investigation,63,127
1,resident,intruder,none,128,175
1,resident,intruder,investigation,176,278
1,resident,intruder,none,279,421
1,resident,intruder,investigation,422,657
1,resident,intruder,none,658,731
1,resident,intruder,investigation,732,757
1,resident,intruder,none,758,1086
1,resident,intruder,investigation,1087,1101
1,resident,intruder,none,1102,1111
1,resident,intruder,investigation,1112,1183
1,resident,intruder,none,1184,1316
1,resident,intruder,investigation,1317,1343
1,resident,intruder,none,1344,1583
1,resident,intruder,investigation,1584,1618
1,resident,intruder,none,1619,1799
1,resident,intruder,investigation,1800,2105
1,resident,intruder,attack,2106,2257
1,resident,intruder,investigation,2258,2274
