group,actor,recipient,category,start,stop,duration
GH010423,0,1,none,0,10788,10789
GH010423,0,10,none,0,10788,10789
GH010423,0,11,none,0,10788,10789
GH010423,0,12,none,0,10788,10789
GH010423,0,13,none,0,5770,5771
GH010423,0,13,dart_bite,5771,5815,45
GH010423,0,13,none,5816,10788,4973
GH010423,0,14,none,0,2814,2815
GH010423,0,14,approach,2815,2883,69
GH010423,0,14,none,2884,3924,1041
GH010423,0,14,approach,3925,4013,89
GH010423,0,14,none,4014,10788,6775
GH010423,0,2,none,0,10788,10789
GH010423,0,3,none,0,10788,10789
GH010423,0,4,none,0,10788,10789
GH010423,0,5,none,0,10788,10789
GH010423,0,6,none,0,10788,10789
GH010423,0,7,none,0,10788,10789
GH010423,0,8,none,0,10788,10789
GH010423,0,9,none,0,8535,8536
GH010423,0,9,frontal_display,8536,8565,30
GH010423,0,9,none,8566,10788,2223
GH010423,1,0,none,0,5147,5148
GH010423,1,0,dart_bite,5148,5170,23
GH010423,1,0,none,5171,7124,1954
GH010423,1,0,quiver,7125,7208,84
GH010423,1,0,none,7209,10788,3580
GH010423,1,10,none,0,10788,10789
GH010423,1,11,none,0,10788,10789
GH010423,1,12,none,0,10027,10028
GH010423,1,12,frontal_display,10028,10052,25
GH010423,1,12,lateral_display,10053,10141,89
GH010423,1,12,none,10142,10788,647
GH010423,1,13,none,0,277,278
GH010423,1,13,frontal_display,278,314,37
GH010423,1,13,none,315,512,198
GH010423,1,13,dart_bite,513,558,46
GH010423,1,13,none,559,859,301
GH010423,1,13,dart_bite,860,898,39
GH010423,1,13,none,899,1005,107
GH010423,1,13,frontal_display,1006,1051,46
GH010423,1,13,none,1052,10788,9737
GH010423,1,14,none,0,10788,10789
GH010423,1,2,none,0,3027,3028
GH010423,1,2,quiver,3028,3095,68
GH010423,1,2,none,3096,10788,7693
GH010423,1,3,none,0,6594,6595
GH010423,1,3,dart_bite,6595,6640,46
GH010423,1,3,none,6641,10788,4148
GH010423,1,4,none,0,7337,7338
GH010423,1,4,frontal_display,7338,7375,38
GH010423,1,4,none,7376,10788,3413
GH010423,1,5,none,0,10788,10789
GH010423,1,6,none,0,10788,10789
GH010423,1,7,none,0,5937,5938
GH010423,1,7,lateral_display,5938,5991,54
GH010423,1,7,none,5992,10788,4797
GH010423,1,8,none,0,10788,10789
GH010423,1,9,none,0,10788,10789
GH010423,10,0,none,0,2912,2913
GH010423,10,0,frontal_display,2913,2943,31
GH010423,10,0,none,2944,3666,723
GH010423,10,0,approach,3667,3718,52
GH010423,10,0,none,3719,4642,924
GH010423,10,0,approach,4643,4672,30
GH010423,10,0,frontal_display,4673,4748,76
GH010423,10,0,none,4749,6404,1656
GH010423,10,0,dart_bite,6405,6435,31
GH010423,10,0,none,6436,9467,3032
GH010423,10,0,frontal_display,9468,9536,69
GH010423,10,0,none,9537,10307,771
GH010423,10,0,frontal_display,10308,10383,76
GH010423,10,0,none,10384,10788,405
GH010423,10,1,none,0,10788,10789
GH010423,10,11,none,0,10788,10789
GH010423,10,12,none,0,7217,7218
GH010423,10,12,dart_bite,7218,7263,46
GH010423,10,12,none,7264,7285,22
GH010423,10,12,chase,7286,7338,53
GH010423,10,12,none,7339,10788,3450
GH010423,10,13,none,0,232,233
GH010423,10,13,dart_bite,233,263,31
GH010423,10,13,none,264,844,581
GH010423,10,13,dart_bite,845,849,5
GH010423,10,13,none,850,2137,1288
GH010423,10,13,frontal_display,2138,2185,48
GH010423,10,13,none,2186,5889,3704
GH010423,10,13,chase,5890,5928,39
GH010423,10,13,none,5929,5930,2
GH010423,10,13,chase,5931,5976,46
GH010423,10,13,none,5977,10788,4812
GH010423,10,14,none,0,10788,10789
GH010423,10,2,none,0,10788,10789
GH010423,10,3,none,0,6647,6648
GH010423,10,3,chase,6648,6685,38
GH010423,10,3,none,6686,10788,4103
GH010423,10,4,none,0,3594,3595
GH010423,10,4,chase,3595,3615,21
GH010423,10,4,none,3616,5535,1920
GH010423,10,4,dart_bite,5536,5580,45
GH010423,10,4,none,5581,10788,5208
GH010423,10,5,none,0,10788,10789
GH010423,10,6,none,0,10788,10789
GH010423,10,7,none,0,10788,10789
GH010423,10,8,none,0,437,438
GH010423,10,8,approach,438,528,91
GH010423,10,8,none,529,8770,8242
GH010423,10,8,approach,8771,8830,60
GH010423,10,8,none,8831,10788,1958
GH010423,10,9,none,0,10788,10789
GH010423,11,0,none,0,10788,10789
GH010423,11,1,none,0,10788,10789
GH010423,11,10,none,0,10788,10789
GH010423,11,12,none,0,10788,10789
GH010423,11,13,none,0,10788,10789
GH010423,11,14,none,0,10788,10789
GH010423,11,2,none,0,10788,10789
GH010423,11,3,none,0,10788,10789
GH010423,11,4,none,0,10788,10789
GH010423,11,5,none,0,7535,7536
GH010423,11,5,quiver,7536,7618,83
GH010423,11,5,none,7619,7710,92
GH010423,11,5,quiver,7711,7804,94
GH010423,11,5,none,7805,7833,29
GH010423,11,5,quiver,7834,7890,57
GH010423,11,5,none,7891,8187,297
GH010423,11,5,quiver,8188,8210,23
GH010423,11,5,none,8211,10788,2578
GH010423,11,6,none,0,10788,10789
GH010423,11,7,none,0,10788,10789
GH010423,11,8,none,0,10788,10789
GH010423,11,9,none,0,10788,10789
GH010423,12,0,none,0,10788,10789
GH010423,12,1,none,0,10035,10036
GH010423,12,1,lateral_display,10036,10115,80
GH010423,12,1,none,10116,10262,147
GH010423,12,1,chase,10263,10345,83
GH010423,12,1,frontal_display,10346,10368,23
GH010423,12,1,none,10369,10788,420
GH010423,12,10,none,0,7195,7196
GH010423,12,10,dart_bite,7196,7221,26
GH010423,12,10,none,7222,10788,3567
GH010423,12,11,none,0,10788,10789
GH010423,12,13,none,0,10788,10789
GH010423,12,14,none,0,10788,10789
GH010423,12,2,none,0,10788,10789
GH010423,12,3,none,0,10788,10789
GH010423,12,4,none,0,10788,10789
GH010423,12,5,none,0,10788,10789
GH010423,12,6,none,0,10788,10789
GH010423,12,7,none,0,3027,3028
GH010423,12,7,lateral_display,3028,3080,53
GH010423,12,7,none,3081,7662,4582
GH010423,12,7,quiver,7663,7730,68
GH010423,12,7,none,7731,10649,2919
GH010423,12,7,frontal_display,10650,10700,51
GH010423,12,7,none,10701,10788,88
GH010423,12,8,none,0,10788,10789
GH010423,12,9,none,0,10788,10789
GH010423,13,0,none,0,10788,10789
GH010423,13,1,none,0,543,544
GH010423,13,1,dart_bite,544,573,30
GH010423,13,1,none,574,892,319
GH010423,13,1,frontal_display,893,928,36
GH010423,13,1,none,929,10788,9860
GH010423,13,10,none,0,10788,10789
GH010423,13,11,none,0,10788,10789
GH010423,13,12,none,0,10788,10789
GH010423,13,14,none,0,10788,10789
GH010423,13,2,none,0,10788,10789
GH010423,13,3,none,0,10788,10789
GH010423,13,4,none,0,10788,10789
GH010423,13,5,none,0,10788,10789
GH010423,13,6,none,0,10788,10789
GH010423,13,7,none,0,10788,10789
GH010423,13,8,none,0,10788,10789
GH010423,13,9,none,0,10788,10789
GH010423,14,0,none,0,10252,10253
GH010423,14,0,frontal_display,10253,10300,48
GH010423,14,0,none,10301,10788,488
GH010423,14,1,none,0,3290,3291
GH010423,14,1,frontal_display,3291,3349,59
GH010423,14,1,none,3350,10788,7439
GH010423,14,10,none,0,10788,10789
GH010423,14,11,none,0,10788,10789
GH010423,14,12,none,0,695,696
GH010423,14,12,frontal_display,696,756,61
GH010423,14,12,none,757,1422,666
GH010423,14,12,dart_bite,1423,1453,31
GH010423,14,12,none,1454,5154,3701
GH010423,14,12,chase,5155,5203,49
GH010423,14,12,none,5204,9460,4257
GH010423,14,12,approach,9461,9528,68
GH010423,14,12,none,9529,10788,1260
GH010423,14,13,none,0,452,453
GH010423,14,13,chase,453,498,46
GH010423,14,13,none,499,945,447
GH010423,14,13,dart_bite,946,976,31
GH010423,14,13,none,977,1202,226
GH010423,14,13,dart_bite,1203,1263,61
GH010423,14,13,chase,1264,1293,30
GH010423,14,13,none,1294,10788,9495
GH010423,14,2,none,0,10788,10789
GH010423,14,3,none,0,10788,10789
GH010423,14,4,none,0,3542,3543
GH010423,14,4,chase,3543,3595,53
GH010423,14,4,none,3596,4609,1014
GH010423,14,4,frontal_display,4610,4653,44
GH010423,14,4,none,4654,5337,684
GH010423,14,4,dart_bite,5338,5383,46
GH010423,14,4,none,5384,7213,1830
GH010423,14,4,dart_bite,7214,7241,28
GH010423,14,4,none,7242,10788,3547
GH010423,14,5,none,0,10788,10789
GH010423,14,6,none,0,3982,3983
GH010423,14,6,frontal_display,3983,4036,54
GH010423,14,6,none,4037,4971,935
GH010423,14,6,frontal_display,4972,4988,17
GH010423,14,6,none,4989,6846,1858
GH010423,14,6,frontal_display,6847,6875,29
GH010423,14,6,lateral_display,6876,6928,53
GH010423,14,6,none,6929,10788,3860
GH010423,14,7,none,0,10788,10789
GH010423,14,8,none,0,10788,10789
GH010423,14,9,none,0,10788,10789
GH010423,2,0,none,0,10788,10789
GH010423,2,1,none,0,10788,10789
GH010423,2,10,none,0,10788,10789
GH010423,2,11,none,0,10788,10789
GH010423,2,12,none,0,10788,10789
GH010423,2,13,none,0,10788,10789
GH010423,2,14,none,0,10788,10789
GH010423,2,3,none,0,10788,10789
GH010423,2,4,none,0,10788,10789
GH010423,2,5,none,0,8799,8800
GH010423,2,5,frontal_display,8800,8853,54
GH010423,2,5,none,8854,9359,506
GH010423,2,5,dart_bite,9360,9405,46
GH010423,2,5,none,9406,10475,1070
GH010423,2,5,quiver,10476,10543,68
GH010423,2,5,none,10544,10788,245
GH010423,2,6,none,0,10788,10789
GH010423,2,7,none,0,5990,5991
GH010423,2,7,dart_bite,5991,6050,60
GH010423,2,7,none,6051,9042,2992
GH010423,2,7,frontal_display,9043,9088,46
GH010423,2,7,none,9089,10788,1700
GH010423,2,8,none,0,10788,10789
GH010423,2,9,none,0,10788,10789
GH010423,3,0,none,0,10788,10789
GH010423,3,1,none,0,10788,10789
GH010423,3,10,none,0,10788,10789
GH010423,3,11,none,0,10788,10789
GH010423,3,12,none,0,10788,10789
GH010423,3,13,none,0,5232,5233
GH010423,3,13,approach,5233,5293,61
GH010423,3,13,none,5294,10788,5495
GH010423,3,14,none,0,10788,10789
GH010423,3,2,none,0,10788,10789
GH010423,3,4,none,0,10788,10789
GH010423,3,5,none,0,10788,10789
GH010423,3,6,none,0,10788,10789
GH010423,3,7,none,0,10788,10789
GH010423,3,8,none,0,10788,10789
GH010423,3,9,none,0,9777,9778
GH010423,3,9,dart_bite,9778,9823,46
GH010423,3,9,none,9824,10788,965
GH010423,4,0,none,0,10788,10789
GH010423,4,1,none,0,10788,10789
GH010423,4,10,none,0,10788,10789
GH010423,4,11,none,0,10788,10789
GH010423,4,12,none,0,10788,10789
GH010423,4,13,none,0,10788,10789
GH010423,4,14,none,0,10788,10789
GH010423,4,2,none,0,10788,10789
GH010423,4,3,none,0,10788,10789
GH010423,4,5,none,0,10788,10789
GH010423,4,6,none,0,10788,10789
GH010423,4,7,none,0,10788,10789
GH010423,4,8,none,0,10788,10789
GH010423,4,9,none,0,10788,10789
GH010423,5,0,none,0,10788,10789
GH010423,5,1,none,0,10788,10789
GH010423,5,10,none,0,10788,10789
GH010423,5,11,none,0,7542,7543
GH010423,5,11,frontal_display,7543,7618,76
GH010423,5,11,none,7619,8162,544
GH010423,5,11,frontal_display,8163,8238,76
GH010423,5,11,none,8239,10788,2550
GH010423,5,12,none,0,10788,10789
GH010423,5,13,none,0,10788,10789
GH010423,5,14,none,0,10788,10789
GH010423,5,2,none,0,5690,5691
GH010423,5,2,frontal_display,5691,5763,73
GH010423,5,2,none,5764,9792,4029
GH010423,5,2,approach,9793,9853,61
GH010423,5,2,none,9854,10445,592
GH010423,5,2,frontal_display,10446,10521,76
GH010423,5,2,none,10522,10788,267
GH010423,5,3,none,0,10788,10789
GH010423,5,4,none,0,10788,10789
GH010423,5,6,none,0,10788,10789
GH010423,5,7,none,0,8975,8976
GH010423,5,7,dart_bite,8976,9021,46
GH010423,5,7,none,9022,10788,1767
GH010423,5,8,none,0,10788,10789
GH010423,5,9,none,0,6352,6353
GH010423,5,9,frontal_display,6353,6413,61
GH010423,5,9,none,6414,10788,4375
GH010423,6,0,none,0,10788,10789
GH010423,6,1,none,0,10788,10789
GH010423,6,10,none,0,10788,10789
GH010423,6,11,none,0,10788,10789
GH010423,6,12,none,0,10788,10789
GH010423,6,13,none,0,10788,10789
GH010423,6,14,none,0,6859,6860
GH010423,6,14,lateral_display,6860,6935,76
GH010423,6,14,none,6936,10788,3853
GH010423,6,2,none,0,10788,10789
GH010423,6,3,none,0,10788,10789
GH010423,6,4,none,0,10788,10789
GH010423,6,5,none,0,10788,10789
GH010423,6,7,none,0,10788,10789
GH010423,6,8,none,0,10788,10789
GH010423,6,9,none,0,10788,10789
GH010423,7,0,none,0,10171,10172
GH010423,7,0,frontal_display,10172,10243,72
GH010423,7,0,none,10244,10788,545
GH010423,7,1,none,0,10788,10789
GH010423,7,10,none,0,10788,10789
GH010423,7,11,none,0,10788,10789
GH010423,7,12,none,0,10788,10789
GH010423,7,13,none,0,161,162
GH010423,7,13,dart_bite,162,207,46
GH010423,7,13,none,208,10788,10581
GH010423,7,14,none,0,1672,1673
GH010423,7,14,approach,1673,1726,54
GH010423,7,14,none,1727,10788,9062
GH010423,7,2,none,0,359,360
GH010423,7,2,chase,360,413,54
GH010423,7,2,none,414,9755,9342
GH010423,7,2,frontal_display,9756,9761,6
GH010423,7,2,none,9762,10788,1027
GH010423,7,3,none,0,10788,10789
GH010423,7,4,none,0,5602,5603
GH010423,7,4,chase,5603,5670,68
GH010423,7,4,none,5671,10788,5118
GH010423,7,5,none,0,10788,10789
GH010423,7,6,none,0,10788,10789
GH010423,7,8,none,0,10788,10789
GH010423,7,9,none,0,10788,10789
GH010423,8,0,none,0,10695,10696
GH010423,8,0,frontal_display,10696,10748,53
GH010423,8,0,none,10749,10788,40
GH010423,8,1,none,0,10788,10789
GH010423,8,10,none,0,10788,10789
GH010423,8,11,none,0,10788,10789
GH010423,8,12,none,0,7230,7231
GH010423,8,12,dart_bite,7231,7278,48
GH010423,8,12,none,7279,10788,3510
GH010423,8,13,none,0,2718,2719
GH010423,8,13,lateral_display,2719,2794,76
GH010423,8,13,none,2795,3337,543
GH010423,8,13,dart_bite,3338,3361,24
GH010423,8,13,none,3362,3362,1
GH010423,8,13,dart_bite,3363,3383,21
GH010423,8,13,none,3384,3430,47
GH010423,8,13,frontal_display,3431,3491,61
GH010423,8,13,none,3492,5822,2331
GH010423,8,13,dart_bite,5823,5860,38
GH010423,8,13,none,5861,10788,4928
GH010423,8,14,none,0,10788,10789
GH010423,8,2,none,0,10788,10789
GH010423,8,3,none,0,6374,6375
GH010423,8,3,chase,6375,6488,114
GH010423,8,3,none,6489,10788,4300
GH010423,8,4,none,0,10788,10789
GH010423,8,5,none,0,10788,10789
GH010423,8,6,none,0,10788,10789
GH010423,8,7,none,0,10788,10789
GH010423,8,9,none,0,10788,10789
GH010423,9,0,none,0,5662,5663
GH010423,9,0,chase,5663,5738,76
GH010423,9,0,none,5739,7874,2136
GH010423,9,0,approach,7875,7911,37
GH010423,9,0,frontal_display,7912,7980,69
GH010423,9,0,none,7981,7997,17
GH010423,9,0,frontal_display,7998,8058,61
GH010423,9,0,none,8059,8512,454
GH010423,9,0,dart_bite,8513,8551,39
GH010423,9,0,none,8552,8572,21
GH010423,9,0,frontal_display,8573,8575,3
GH010423,9,0,none,8576,8585,10
GH010423,9,0,frontal_display,8586,8595,10
GH010423,9,0,none,8596,10788,2193
GH010423,9,1,none,0,10788,10789
GH010423,9,10,none,0,5022,5023
GH010423,9,10,frontal_display,5023,5080,58
GH010423,9,10,none,5081,5352,272
GH010423,9,10,frontal_display,5353,5419,67
GH010423,9,10,none,5420,10788,5369
GH010423,9,11,none,0,10788,10789
GH010423,9,12,none,0,10788,10789
GH010423,9,13,none,0,2079,2080
GH010423,9,13,chase,2080,2125,46
GH010423,9,13,none,2126,4050,1925
GH010423,9,13,frontal_display,4051,4090,40
GH010423,9,13,none,4091,10788,6698
GH010423,9,14,none,0,10788,10789
GH010423,9,2,none,0,1286,1287
GH010423,9,2,frontal_display,1287,1353,67
GH010423,9,2,none,1354,10788,9435
GH010423,9,3,none,0,2262,2263
GH010423,9,3,approach,2263,2330,68
GH010423,9,3,none,2331,10788,8458
GH010423,9,4,none,0,10788,10789
GH010423,9,5,none,0,10788,10789
GH010423,9,6,none,0,4422,4423
GH010423,9,6,frontal_display,4423,4483,61
GH010423,9,6,none,4484,6930,2447
GH010423,9,6,dart_bite,6931,6983,53
GH010423,9,6,none,6984,7572,589
GH010423,9,6,frontal_display,7573,7640,68
GH010423,9,6,none,7641,10788,3148
GH010423,9,7,none,0,10788,10789
GH010423,9,8,none,0,10788,10789
GH010861,0,1,none,0,8990,8991
GH010861,0,10,none,0,8990,8991
GH010861,0,11,none,0,8990,8991
GH010861,0,12,none,0,8990,8991
GH010861,0,13,none,0,8990,8991
GH010861,0,14,none,0,7290,7291
GH010861,0,2,none,0,3985,3986
GH010861,0,2,frontal_display,3986,4031,46
GH010861,0,2,none,4032,8990,4959
GH010861,0,3,none,0,8990,8991
GH010861,0,4,none,0,2303,2304
GH010861,0,4,frontal_display,2304,2334,31
GH010861,0,4,lateral_display,2335,2370,36
GH010861,0,4,frontal_display,2371,2409,39
GH010861,0,4,none,2410,8990,6581
GH010861,0,5,none,0,8990,8991
GH010861,0,6,none,0,4613,4614
GH010861,0,6,quiver,4614,4659,46
GH010861,0,6,none,4660,8990,4331
GH010861,0,7,none,0,8990,8991
GH010861,0,8,none,0,449,450
GH010861,0,8,lateral_display,450,514,65
GH010861,0,8,none,515,8990,8476
GH010861,0,9,none,0,8990,8991
GH010861,1,0,none,0,8990,8991
GH010861,1,10,none,0,1250,1251
GH010861,1,10,quiver,1251,1289,39
GH010861,1,10,none,1290,5489,4200
GH010861,1,10,frontal_display,5490,5516,27
GH010861,1,10,none,5517,8355,2839
GH010861,1,10,frontal_display,8356,8453,98
GH010861,1,10,none,8454,8990,537
GH010861,1,11,none,0,8990,8991
GH010861,1,12,none,0,7265,7266
GH010861,1,12,frontal_display,7266,7319,54
GH010861,1,12,none,7320,8990,1671
GH010861,1,13,none,0,8990,8991
GH010861,1,14,none,0,7290,7291
GH010861,1,2,none,0,8990,8991
GH010861,1,3,none,0,8990,8991
GH010861,1,4,none,0,2658,2659
GH010861,1,4,lateral_display,2659,2696,38
GH010861,1,4,none,2697,8990,6294
GH010861,1,5,none,0,4378,4379
GH010861,1,5,frontal_display,4379,4431,53
GH010861,1,5,none,4432,8990,4559
GH010861,1,6,none,0,8990,8991
GH010861,1,7,none,0,8990,8991
GH010861,1,8,none,0,8990,8991
GH010861,1,9,none,0,5385,5386
GH010861,1,9,frontal_display,5386,5489,104
GH010861,1,9,none,5490,8990,3501
GH010861,10,0,none,0,8990,8991
GH010861,10,1,none,0,1220,1221
GH010861,10,1,frontal_display,1221,1259,39
GH010861,10,1,none,1260,2393,1134
GH010861,10,1,frontal_display,2394,2424,31
GH010861,10,1,none,2425,5470,3046
GH010861,10,1,quiver,5471,5546,76
GH010861,10,1,none,5547,8310,2764
GH010861,10,1,frontal_display,8311,8382,72
GH010861,10,1,none,8383,8415,33
GH010861,10,1,frontal_display,8416,8454,39
GH010861,10,1,none,8455,8990,536
GH010861,10,11,none,0,8611,8612
GH010861,10,11,frontal_display,8612,8679,68
GH010861,10,11,none,8680,8990,311
GH010861,10,12,none,0,8990,8991
GH010861,10,13,none,0,8990,8991
GH010861,10,14,none,0,7290,7291
GH010861,10,2,none,0,8990,8991
GH010861,10,3,none,0,8990,8991
GH010861,10,4,none,0,1288,1289
GH010861,10,4,dart_bite,1289,1326,38
GH010861,10,4,none,1327,4355,3029
GH010861,10,4,dart_bite,4356,4401,46
GH010861,10,4,none,4402,8679,4278
GH010861,10,4,dart_bite,8680,8711,32
GH010861,10,4,none,8712,8990,279
GH010861,10,5,none,0,8990,8991
GH010861,10,6,none,0,8990,8991
GH010861,10,7,none,0,8990,8991
GH010861,10,8,none,0,8990,8991
GH010861,10,9,none,0,4713,4714
GH010861,10,9,frontal_display,4714,4796,83
GH010861,10,9,none,4797,4915,119
GH010861,10,9,dart_bite,4916,4946,31
GH010861,10,9,none,4947,5090,144
GH010861,10,9,dart_bite,5091,5151,61
GH010861,10,9,none,5152,5174,23
GH010861,10,9,chase,5175,5211,37
GH010861,10,9,none,5212,5370,159
GH010861,10,9,frontal_display,5371,5439,69
GH010861,10,9,none,5440,6200,761
GH010861,10,9,dart_bite,6201,6234,34
GH010861,10,9,none,6235,8990,2756
GH010861,11,0,none,0,8990,8991
GH010861,11,1,none,0,8990,8991
GH010861,11,10,none,0,8635,8636
