param_balance_sample_weights,param_n_estimators,param_n_jobs,param_min_samples_per_stratum,param_smoothing_function,param_decision_threshold-attack,param_quantile_range_window_lower-attack,param_quantile_range_window_upper-attack,param_smoothing_window-attack,param_quantile_range_lower-attack,param_quantile_range_upper-attack,param_decision_threshold-investigation,param_quantile_range_window_lower-investigation,param_quantile_range_window_upper-investigation,param_smoothing_window-investigation,param_quantile_range_lower-investigation,param_quantile_range_upper-investigation,param_decision_threshold-mount,param_quantile_range_window_lower-mount,param_quantile_range_window_upper-mount,param_smoothing_window-mount,param_quantile_range_lower-mount,param_quantile_range_upper-mount,param_decision_threshold-none,param_quantile_range_window_lower-none,param_quantile_range_window_upper-none,param_smoothing_window-none,param_quantile_range_lower-none,param_quantile_range_upper-none,value
True,10,1,1,median,0.028338817408040673,57,61,63,0.09191964554875132,0.682315278380349,0.6239128842310708,57,81,21,0.5397964192093303,0.47322307441959,0.8705094006042601,3,51,89,0.08085755804097206,0.8746648146763195,0.505537351654223,31,61,37,0.8765460807837895,0.19199526711794712,0.48149816288919217
False,10,1,23,mean,0.4108563156651932,77,67,25,0.7966387939653233,0.5522666266778863,0.8779873328389278,71,37,69,0.389201784076453,0.7090523653682927,0.8309009408977795,39,15,73,0.8751939312824574,0.8870634435433317,0.7193003166095396,41,45,29,0.5466905207711269,0.1587187662873487,0.4971253054263136
False,10,1,30,mean,0.7883413248172848,57,21,29,0.04298194503855013,0.4780628902409969,0.41328538535365533,79,15,65,0.4934838957036868,0.22372946960683815,0.09108998524030398,37,3,27,0.23254451542147592,0.006904973792229652,0.11688894510239578,3,49,85,0.5212706566844822,0.025680840165228647,0.5321808413028157
False,10,1,30,median,0.3474511606169127,37,81,85,0.6406059492340104,0.0749300798401713,0.8249910468510928,37,49,23,0.4810210807606433,0.6330606754915779,0.10849191011598713,29,17,37,0.6047256645224544,0.08154878165267154,0.0008164886147559169,49,57,57,0.7740740675105257,0.3560671793086433,0.39692468797915065
True,10,1,11,median,0.9792644741692885,51,73,91,0.4810458529434213,0.3281999834058321,0.4611446438903426,89,79,69,0.7707655565255023,0.3387757304556106,0.8539579961525264,41,21,9,0.8439566898163481,0.7364559203677811,0.48241803803798466,47,33,15,0.8624765411003728,0.9387232015051502,0.5333613289094595
False,10,1,7,median,0.13349779838368891,13,81,1,0.9973908869250542,0.4164237821190233,0.8597568717730896,45,83,41,0.5030390087863631,0.14647405099797817,0.10458959997809625,69,3,11,0.5820243143926761,0.8765607295502083,0.1223706777528697,79,1,37,0.3942298776308031,0.0006606575949574811,0.4168039499820464
False,10,1,7,median,0.2676472694346209,67,63,31,0.9055892780129763,0.48466138936524084,0.47379295114801945,21,39,19,0.12857232332109192,0.6340212855927999,0.6959192851025294,27,81,79,0.6087754164567171,0.9019005058864917,0.2644325499441107,39,85,71,0.22081010762340214,0.05190206780380091,0.7104575312946547
False,10,1,18,mean,0.5882440003672089,7,91,81,0.5163471228434753,0.453301297945943,0.34052640727432526,33,3,65,0.45528490583379955,0.0009888895658330954,0.6999157077500802,91,63,69,0.1977992310906208,0.5555029841004455,0.9702106411601141,55,89,15,0.6165160093990028,0.7193702484338657,0.5424314243078038
False,10,1,25,mean,0.9844112041125529,83,59,69,0.5218596417914001,0.366353886329028,0.8999981367931335,21,69,29,0.8318568818409525,0.34405685980515355,0.04714157062300062,37,31,49,0.12294269791903589,0.8284976651064977,0.8272488133689951,19,77,5,0.3356248676939724,0.22855326075957583,0.2600199232628069
True,10,1,20,mean,0.44895078671463573,87,63,45,0.4506896083301958,0.007053764393124662,0.8983806362523967,81,41,15,0.5049640239500072,0.8985400638944357,0.5050954009154522,37,79,69,0.49876479817257713,0.3555130007743177,0.027072355563051875,73,45,67,0.6923361024263033,0.9973539706424853,0.40914139471363337
False,10,1,27,median,0.8688214366411692,79,17,65,0.8961258605364485,0.9102754552223676,0.6767571753067287,11,1,73,0.5847807513660902,0.539129183128382,0.601288632628455,5,59,3,0.36299636098873156,0.08930137524528525,0.6915074788241483,67,35,63,0.24950508178735775,0.9381152760390717,0.4658719553760871
True,10,1,20,mean,0.5319862626926338,9,77,19,0.39044464916067545,0.2543989061245133,0.1831961171826455,83,1,9,0.006883696384883176,0.7806376854809796,0.23170842643194156,65,25,71,0.7733155006371057,0.9549819753320579,0.9384547725317899,25,51,55,0.3339477721236924,0.6210824150207155,0.5819559045407766
True,10,1,10,median,0.7069992303163345,49,19,71,0.43513852635634476,0.04563291929726321,0.4274173849792078,79,27,47,0.34542493798254437,0.7505430536453777,0.04319680821770833,7,39,91,0.7708494990104053,0.10528591755437822,0.4885333596635706,31,79,91,0.4561430712764012,0.07182997161187876,0.5405708989074162
True,10,1,0,median,0.2649874432934398,35,31,1,0.9982932574006738,0.9424270819854347,0.0270368029800086,3,25,1,0.01754453901552222,0.9266692427082839,0.40230988359416686,7,89,91,0.39101713582938447,0.5934620146638955,0.32926270319265755,65,19,89,0.05008187369076217,0.5189134617730319,0.5625636057633625
False,10,1,16,mean,0.6625779640745137,3,39,37,0.2856843234692327,0.7716684373661999,0.13597067120660145,27,21,91,0.026951409601408655,0.01742565800030127,0.6613854612391539,83,89,65,0.7115225557776125,0.5877731866228023,0.3342257184228866,59,91,89,0.0012598331807281427,0.682411710412711,0.5917432440258134
True,10,1,12,median,0.24368517241765497,29,41,11,0.21935883281578222,0.2081597771844877,0.08729655964896159,63,25,5,0.06660347147349291,0.8828737246479419,0.32931733823438614,65,89,91,0.7358775854641527,0.6219364166382806,0.3441678999270699,23,73,83,0.056988065678551136,0.5821633161910158,0.6858172618367057
