study,number,params_max_allowed_bout_overlap,params_max_bout_gap,params_prefilter_recipient_bouts,params_quantile_range_lower-approach,params_quantile_range_lower-chase,params_quantile_range_lower-dart_bite,params_quantile_range_lower-frontal_display,params_quantile_range_lower-lateral_display,params_quantile_range_lower-none,params_quantile_range_lower-quiver,params_quantile_range_upper-approach,params_quantile_range_upper-chase,params_quantile_range_upper-dart_bite,params_quantile_range_upper-frontal_display,params_quantile_range_upper-lateral_display,params_quantile_range_upper-none,params_quantile_range_upper-quiver,params_quantile_range_window_lower-approach,params_quantile_range_window_lower-chase,params_quantile_range_window_lower-dart_bite,params_quantile_range_window_lower-frontal_display,params_quantile_range_window_lower-lateral_display,params_quantile_range_window_lower-none,params_quantile_range_window_lower-quiver,params_quantile_range_window_upper-approach,params_quantile_range_window_upper-chase,params_quantile_range_window_upper-dart_bite,params_quantile_range_window_upper-frontal_display,params_quantile_range_window_upper-lateral_display,params_quantile_range_window_upper-none,params_quantile_range_window_upper-quiver,params_smoothing_function,params_smoothing_window-approach,params_smoothing_window-chase,params_smoothing_window-dart_bite,params_smoothing_window-frontal_display,params_smoothing_window-lateral_display,params_smoothing_window-none,params_smoothing_window-quiver,params_threshold-approach,params_threshold-chase,params_threshold-dart_bite,params_threshold-frontal_display,params_threshold-lateral_display,params_threshold-none,params_threshold-quiver,params_weight_max_probability,value
0,0,56,11,True,0.035376069828088996,0.10016945746988964,0.43312900640114826,0.32219348001075915,0.1342370365174289,0.19311759171255977,0.2606927151767459,0.7758025515226952,0.8793045797527231,0.9939047687990594,0.8295261574813648,0.6466533789638762,0.6194536595698735,0.8140279745071934,0,76,80,64,32,30,64,80,28,44,4,90,16,68,mean,32,2,6,12,68,70,50,0.5198540491638656,0.11189730274426146,0.8487813144287117,0.2657594598556676,0.3127713258987268,0.348829489995912,0.12556572070496774,0.45715686293617563,0.43833403966471296
0,1,55,62,False,0.24985429944501503,0.17317338408715371,0.3243047705234348,0.44799923224916927,0.48566530986232054,0.12986410137538312,0.4768513756819299,0.8027946404698642,0.5170567090139837,0.7518071747929982,0.8054712582352861,0.6231952012705197,0.8329363863530213,0.6083554901221095,56,30,56,18,18,10,72,72,80,6,76,38,22,22,mean,38,88,22,48,82,32,24,0.7126565044277102,0.6462464654068196,0.6829151573839912,0.022271589646961742,0.05478631342873541,0.3507832840629873,0.02529018082398915,0.5616001691031134,0.4392757796043636
0,2,3,94,False,0.36183548575623675,0.38847670576037047,0.3225365347085857,0.02605992271398566,0.021047141448606865,0.3276338271530393,0.07118452713294826,0.8500142420017383,0.796256470822776,0.6154648248828395,0.70256263511002,0.7838339684426074,0.5981934534825804,0.7909386131354066,4,46,56,22,36,56,2,90,34,20,8,50,80,74,mean,6,66,86,66,34,68,12,0.21931452876624558,0.8825576496162135,0.8618315634130976,0.09700754601256245,0.6894533009071921,0.08753868622869443,0.6116388159032842,0.26599684157921477,0.39223354790245474
0,3,9,0,True,0.3415659578097624,0.18671463838495406,0.04026349934287854,0.22263593271764315,0.31531313660251425,0.21024578707356228,0.467341794083877,0.5887274899767291,0.7466443633402708,0.6258019126927306,0.7536900327114923,0.5368266591245126,0.7215149854106522,0.8270182007398279,78,36,74,36,26,16,40,46,8,34,64,8,26,66,median,78,22,56,78,48,80,86,0.6876558689662863,0.3530965156471667,0.36506362179755336,0.14504869830104072,0.45967984808121143,0.42084721943732384,0.5205981147712071,0.5501040270246341,0.45714725456448624
0,4,22,113,False,0.3794817764372547,0.14826065894072005,0.46325838475062947,0.3786177386561892,0.014730752904379196,0.013432814102020851,0.4192127289692252,0.6630368220873604,0.7247571987828934,0.5205599680598164,0.9899653224910283,0.9193426602186643,0.6855444423392028,0.7028897806247488,38,88,0,18,24,60,72,16,38,54,80,20,46,2,median,20,40,40,22,80,28,12,0.7833313569581465,0.2580670379260417,0.7578929479426435,0.561946879069433,0.7206869491808324,0.5535026028373761,0.8665041580549975,0.08603539492917045,0.43462083758478764
0,5,41,63,False,0.4346286930083065,0.20128016425332856,0.46304102564170657,0.43847733334310596,0.10067794835558541,0.2225001807643423,0.3883378572432889,0.906895574479087,0.8325433777340734,0.8546740999972416,0.8882540439816027,0.6858348545682932,0.8103300938421739,0.8449839471729894,88,82,54,36,74,68,14,68,76,66,54,2,54,60,mean,62,52,76,76,14,32,90,0.6450696642883652,0.1162063271216267,0.24857903609739984,0.8104592149736068,0.8331024245166971,0.9753947874117777,0.9914320229463723,0.2538054015498542,0.38578655928718475
0,6,28,73,True,0.32485894018642364,0.13273093607416853,0.3312312653294663,0.08887224042275116,0.07214650018564817,0.29773721651391866,0.015192740957435613,0.8528919255613803,0.7564103666620895,0.9670139644558513,0.6781451594148507,0.6830797530165124,0.5847243709083548,0.5210817302122988,24,22,22,52,74,60,74,60,30,60,32,34,54,36,median,86,34,64,0,88,70,78,0.022789355216840224,0.0839157807041857,0.9962695030721314,0.9615640393995979,0.6871041454065007,0.7066017234798123,0.020051135269352205,0.7639240525736516,0.40416895068230546
0,7,23,118,True,0.07038311800698777,0.4951653144802953,0.16732605185679666,0.47249971692208187,0.2232086613412793,0.18595241285411795,0.4434032907753033,0.7031834015609111,0.7468568054917317,0.5800421166911995,0.567615524797153,0.8611921790931389,0.8966359403415903,0.801070676411866,32,26,8,8,24,60,74,24,86,68,62,84,44,58,mean,82,72,24,28,86,30,50,0.8722554464225217,0.9823839628515855,0.3896321544313688,0.6776594093982689,0.6755391066379618,0.5939218552295547,0.13170634159053396,0.023345515906178615,0.4113256342457263
0,8,60,86,False,0.12409330389192746,0.1571575646980809,0.40288798876308035,0.3155104470218612,0.25437304969017327,0.02966200978199468,0.0668939587146597,0.7113003857147077,0.8133161562342932,0.7472631815687272,0.5536550005450919,0.654496876153049,0.648654768943659,0.6975250029787422,8,70,18,42,40,74,62,16,30,84,34,42,40,4,mean,66,36,4,2,2,68,64,0.09643566834105144,0.7723188394701977,0.07433789824226711,0.185147889976498,0.2452452697480464,0.34782393838323267,0.001801366393376802,0.3483755834591429,0.4472958919440554
0,9,55,17,True,0.13242124883524498,0.24570512312547071,0.13904506364986707,0.41625024018277496,0.010829271927708828,0.19919224344033815,0.09831239967543742,0.9036765682863792,0.6419825958257255,0.5031619305861849,0.521874283571713,0.9980773000005152,0.8028286524743813,0.962083274611193,16,14,62,16,84,80,32,70,48,66,20,56,2,46,median,16,84,12,90,24,52,10,0.36458468310186387,0.21870274112718924,0.4168953197591855,0.2783731253387498,0.6528123160874915,0.31050817630651195,0.12902396170048214,0.10518897659289694,0.45992126473836026
0,10,44,32,False,0.38962892302499874,0.3283769352298298,0.032087840406877066,0.16076180139427637,0.39636055494011496,0.25589491571211664,0.12759201181932028,0.7476401206103177,0.6743132389837976,0.9556114380019956,0.5736832137791893,0.8266122334213077,0.7187198604966292,0.7720310914333486,46,6,86,76,62,88,24,10,14,14,88,76,38,18,median,0,68,72,12,86,52,84,0.4645287880699216,0.8647352509041699,0.6637204180100575,0.7585070946260886,0.9667431883764095,0.8704032730224027,0.8389917807165941,0.3976325081074653,0.4423001921087034
0,11,3,67,False,0.30773180468615174,0.3143716579128403,0.015288308676004392,0.10466303109976621,0.21712495357581058,0.08197179966228268,0.10699322008497347,0.9615716770511926,0.640406002531537,0.600447608261995,0.5604728004294792,0.7461300999460881,0.6750442873164839,0.5680150256324672,32,58,60,60,10,4,66,52,4,78,76,88,32,18,mean,68,56,0,38,8,82,80,0.8193861351116396,0.4686556196790579,0.6455322896846934,0.24629686955765118,0.45299822902531306,0.696054212069313,0.9338470999894116,0.6485085250838162,0.40554607527650754
0,12,15,82,False,0.25970650465864903,0.12895977843107675,0.4489600775668487,0.022592438610714916,0.1690798437643234,0.07529768376945428,0.23044227729619254,0.7278628365556641,0.5194036930757586,0.6645124688951096,0.8409000597246699,0.7085528234625358,0.5279306215974322,0.5373363287905887,70,82,6,86,24,40,78,80,78,12,8,88,74,46,median,6,40,80,40,34,10,18,0.8913878128512948,0.8304660854719289,0.2137837840054262,0.43228827055544783,0.9522006508285404,0.30486222758821513,0.18868502634796502,0.8721977068927201,0.44564511843592125
